"","Average","Median","Minimum","Maximum","Std. Deviation","Variance","Lower Quartile (25%)","Upper Quartile (75%)","Interquartile Range"
"rhi:al.l:ss_area","270.9183","272.9021","181.0806","391.1799","32.28551","1042.354","250.2096","291.3306","41.12105"
"or.l:zy.l:ms.l_area","1038.367","1029.657","744.9199","1334.26","109.3668","11961.1","961.8344","1102.651","140.8165"
"g:n:ms.r_angle","0.8806333","0.8830093","0.6800302","1.642211","0.09939113","0.009878596","0.8260006","0.924945","0.09894445"
"ms.r:ms.l:po.r_area","1542.378","1530.413","1195.561","2084.649","165.4421","27371.09","1442.863","1649.86","206.9972"
"g:mo.r:ms.r_angle","0.5615023","0.5623751","0.3882625","0.7275478","0.06473125","0.004190135","0.5167861","0.61047","0.09368397"
"rhi:al.l:pr_area","373.3889","372.1704","272.1268","479.1202","42.59989","1814.751","344.9972","403.9372","58.94009"
"mio.l:zy.l:ms.l_area","1210.945","1204.369","926.4787","1513.173","118.9114","14139.93","1124.044","1281.223","157.1789"
"g:mio.l:au.r_angle","1.459553","1.461542","1.317755","1.599948","0.04810127","0.002313732","1.43179","1.489946","0.05815602"
"g:n:au.r_angle","1.117469","1.112967","0.8806532","1.846603","0.09742288","0.009491217","1.065377","1.162406","0.09702945"
"rhi:fmo.l:zy.l_angle","0.4377291","0.4313633","0.3535444","0.6221365","0.04017289","0.001613861","0.4142761","0.4609119","0.04663577"
"g:n:fmo.l_angle","1.197859","1.196635","1.025293","1.589929","0.06985438","0.004879634","1.150828","1.239597","0.08876804"
"mso.l:zy.l:zm.l_area","1243.041","1249.655","639.5611","1580.66","131.4569","17280.91","1157.218","1315.389","158.1711"
"rhi:mo.l:a_area","345.5066","343.2681","200.588","453.5042","44.37652","1969.275","316.547","370.4545","53.90757"
"fmo.r:mso.l:ju.r_angle","2.010412","2.013673","1.697326","2.190717","0.06164597","0.003800225","1.973555","2.046651","0.07309543"
"g:mo.l:ms.l_angle","0.5604448","0.5577485","0.3916371","0.7215659","0.06768163","0.004580803","0.5163972","0.611125","0.09472775"
"g:n:ms.l_angle","0.8568751","0.85647","0.5459937","1.626488","0.1062781","0.01129503","0.8031461","0.9089604","0.1058143"
"fmo.l:ju.r:ju.l_angle","1.573803","1.570583","1.369593","1.736919","0.05761685","0.003319702","1.534778","1.613551","0.07877302"
"g:n:mp_angle","0.2238836","0.2195121","0.01156245","0.6393843","0.09551071","0.009122295","0.1628493","0.2780781","0.1152289"
"n:mio.l:cr.r_angle","1.513012","1.518326","1.352569","1.716947","0.07165198","0.005134006","1.464531","1.560192","0.09566098"
"or.r:au.r:ju.r_angle","0.3807268","0.3789546","0.2518701","0.5173967","0.05225186","0.002730257","0.3475702","0.4136807","0.0661105"
"zy.r:ms.l_distance","125.2579","124.7779","114.6865","136.1047","4.572313","20.90605","122.4048","128.6655","6.260696"
"g:mio.l:ms.r_angle","1.214317","1.216614","1.043166","1.366615","0.0470701","0.002215594","1.185552","1.243557","0.05800525"
"fmo.r:po.l:ju.r_angle","1.298892","1.29893","1.163424","1.439766","0.05386064","0.002900968","1.261019","1.331846","0.07082664"
"ms.r:ms.l:ju.r_area","3801.409","3797.985","3259.535","4431.224","259.8296","67511.44","3618.165","4000.126","381.9601"
"g:n:ss_angle","0.212801","0.211867","0.009277969","0.6640022","0.09515508","0.009054489","0.1491986","0.2667931","0.1175946"
"fmo.l:ms.l:ju.r_angle","1.39013","1.390511","1.314833","1.470693","0.03149396","0.0009918696","1.371584","1.410535","0.03895059"
"fmo.r:ns:fmt.r_angle","2.87969","2.902885","2.439048","3.10444","0.1408685","0.01984393","2.800538","2.981409","0.1808704"
"g:mio.l:cr.r_angle","1.338316","1.341898","1.143705","1.486902","0.06513149","0.004242111","1.291901","1.38003","0.08812896"
"g:mo.l:au.r_angle","1.229739","1.228781","1.034533","1.39786","0.05438713","0.00295796","1.198098","1.262304","0.06420624"
"g:n:fmt.l_angle","1.286217","1.286693","1.074149","1.679036","0.07625754","0.005815212","1.236726","1.327828","0.09110194"
"n:fmo.r:mio.l_angle","2.025448","2.024496","1.811812","2.222377","0.07770532","0.006038116","1.974287","2.073449","0.09916205"
"ale:pr:mp_angle","0.4961828","0.4680664","0.03641798","1.17094","0.2018514","0.04074398","0.3570104","0.6234019","0.2663915"
"fmo.r:ss:fmt.r_area","47.65713","43.44872","6.514266","161.0937","29.06468","844.7555","26.4411","62.7308","36.2897"
"ms.r:po.r:ju.r_area","726.7155","719.6117","483.1389","1196.98","106.2179","11282.24","647.4682","795.4672","147.999"
"fmo.l:ft.r:ju.l_angle","1.945518","1.941021","1.753983","2.074631","0.05814669","0.003381037","1.913495","1.985574","0.07207924"
"n:ms.r:ms.l_area","6042.231","6024.592","5246.139","7095.557","392.9106","154378.7","5778.618","6313.428","534.8105"
"ale:rhi:mo.l_area","550.4282","547.8974","328.5969","723.8175","73.02096","5332.061","513.3068","597.6511","84.34428"
"g:ms.r:ms.l_area","6350.941","6333.442","5419.357","7452.145","411.1437","169039.1","6069.477","6633.092","563.6151"
"ec.r:mso.l:ecm.l_angle","0.8292759","0.8342734","0.448975","0.9363796","0.04623787","0.002137941","0.8072285","0.8577849","0.05055644"
"fmo.l:zy.r:ju.l_angle","1.443698","1.439143","1.247518","1.625299","0.06026584","0.003631971","1.404981","1.477377","0.07239583"
"g:fmo.l:cr.r_angle","1.715587","1.718798","1.515521","1.882803","0.06394394","0.004088827","1.668017","1.753339","0.08532162"
"fmo.r:ns:fmt.r_area","50.99762","45.60095","6.362436","168.4406","30.86312","952.5322","27.47089","68.74297","41.27207"
"mso.l:ms.r:ms.l_area","5808.403","5782.574","5057.359","6822.023","377.8107","142740.9","5546.184","6062.864","516.6805"
"g:al.r:ecm.r_angle","0.3677208","0.365906","0.1900419","0.6548101","0.05172207","0.002675172","0.3360599","0.3949056","0.05884571"
"mio.l:cr.l:cdl.l_angle","0.1230317","0.1141045","0.0107331","0.2749701","0.06033939","0.003640842","0.07625386","0.1611672","0.08491331"
"fmo.r:mio.r:fmt.r_area","20.2816","17.77979","1.422318","66.92692","12.12438","147.0005","11.26419","27.39762","16.13343"
"ec.r:cr.r:ju.r_angle","0.4043673","0.3875803","0.2280286","0.6840067","0.0811303","0.006582125","0.3515191","0.448455","0.09693592"
"zy.r:ms.r:po.r_area","433.7498","424.9269","267.3637","685.2736","69.13765","4780.015","389.2169","470.6542","81.43732"
"g:n:pr_angle","0.2421885","0.2407977","0.00999475","0.611675","0.09632954","0.009279381","0.1799083","0.2955758","0.1156675"
"al.l:ecm.l:a_area","319.7577","314.959","214.2673","500.9935","44.37952","1969.542","288.0556","347.0745","59.0189"
"n:mio.l:au.r_angle","1.588486","1.592234","1.398115","1.736017","0.05803155","0.003367661","1.551231","1.623347","0.07211607"
"ft.r:fmt.r:ju.r_angle","0.3309548","0.3105509","0.1397548","0.8737948","0.1229556","0.01511807","0.2463946","0.3806514","0.1342568"
"fmo.r:mp:fmt.r_area","47.20048","40.99473","1.673183","163.3528","29.22892","854.3299","28.70718","59.97182","31.26464"
"ms.l:ju.r_distance","128.8279","128.4667","119.8885","139.1305","4.214347","17.76072","126.0867","131.4747","5.388039"
"n:mo.l:cr.r_angle","1.281698","1.282667","1.040988","1.533086","0.07740306","0.005991233","1.238524","1.334958","0.09643375"
"g:n:po.r_angle","1.06289","1.058225","0.8195889","1.817208","0.09915657","0.009832025","1.006487","1.10821","0.101723"
"fmo.r:cr.r:ju.r_angle","0.3016917","0.2969135","0.1439698","0.5163608","0.05741566","0.003296558","0.2598541","0.3287725","0.0689184"
"n:ecm.r:ms.l_area","4005.805","4020.098","2451.597","4891.27","320.2484","102559","3834.508","4202.573","368.0648"
"n:zm.l:cr.r_angle","1.421771","1.417072","1.27356","1.583339","0.06543024","0.004281116","1.377106","1.464468","0.08736234"
"zy.l:ms.r:po.r_area","1819.362","1799.665","1380.43","2476.919","198.9587","39584.56","1692.249","1929.664","237.4148"
"ale:fmo.r:fmt.r_angle","0.01358152","0.01213475","0.001034318","0.049407","0.008179581","0.00006690554","0.00835142","0.01677119","0.008419774"
"g:n:ale_angle","0.2278509","0.2267445","0.0219004","0.6268039","0.09629906","0.009273509","0.1658517","0.2831439","0.1172922"
"ms.r:ms.l:po.l_area","1531.802","1532.342","1192.954","2132.899","169.2377","28641.4","1429.381","1629.142","199.7608"
"g:zy.r:cdl.r_area","691.6494","711.3422","283.4324","1024.271","158.9554","25266.82","599.2475","808.7411","209.4937"
"zy.l:ms.r_distance","125.4143","125.7424","113.3767","139.0823","4.311686","18.59064","122.5588","128.2692","5.710438"
"zy.r:zy.l:ms.r_area","3118.592","3115.948","2521.035","3800.01","268.2652","71966.24","2916.645","3300.591","383.9466"
"fmo.r:al.r:fmt.r_area","38.11527","33.74125","2.453837","123.2933","23.06595","532.0379","20.69988","49.98766","29.28778"
"rhi:mso.l:a_area","626.3278","630.8223","422.0032","836.0293","73.64388","5423.422","573.7825","673.4335","99.65104"
"fmo.r:ss:fmt.r_angle","2.909667","2.93264","2.397991","3.104111","0.1299732","0.01689304","2.850827","3.002128","0.1513014"
"g:n:cdl.l_angle","0.9467513","0.9448978","0.6797395","1.669404","0.09774981","0.009555026","0.8868064","0.9949138","0.1081074"
"n:zy.r:cdl.r_area","676.302","694.6936","283.8133","999.8254","150.9253","22778.45","589.0967","793.5279","204.4312"
"or.r:zy.r:po.r_area","558.2537","550.4259","389.232","796.8624","75.61122","5717.057","499.2832","611.863","112.5798"
"zy.r:ms.r:ms.l_area","2614.281","2581.464","2058.768","3176.719","234.1901","54845","2450.448","2779.4","328.9522"
"g:ale:mo.l_area","496.1421","497.3477","359.4247","717.1543","65.07816","4235.167","448.8403","537.9294","89.08915"
"or.r:au.r:ju.r_area","418.3097","416.1389","256.425","662.8205","69.8306","4876.313","373.7859","457.2458","83.45993"
"zy.r:ms.r:po.l_area","2867.316","2843.976","2350.346","3494.425","245.1097","60078.78","2694.786","3033.577","338.7917"
"mio.l:cr.l:cdl.l_area","170.6029","165.5317","14.77775","416.9125","86.78803","7532.162","101.8689","224.0968","122.228"
"rhi:ss:mo.l_area","425.9222","423.7225","242.5943","612.5405","57.26688","3279.495","390.2291","461.7098","71.48068"
"fmo.l:mso.l:a_area","735.1958","738.8189","131.3871","957.6623","84.89476","7207.12","688.6789","789.4419","100.763"
"ss:zy.l:ms.l_area","2202.014","2197.766","1767.401","2807.701","177.3842","31465.15","2083.647","2310.818","227.171"
"g:zm.l:cr.r_angle","1.291424","1.285154","1.111429","1.432481","0.05863273","0.003437797","1.248572","1.331021","0.08244859"
"g:n:po.l_angle","1.037407","1.033428","0.7326109","1.808268","0.1026218","0.01053124","0.9851861","1.093997","0.1088106"
"g:n:au.l_angle","1.087332","1.081622","0.7879815","1.861431","0.1030348","0.01061618","1.039114","1.142244","0.10313"
"n:mio.l:ms.r_angle","1.333654","1.331372","1.179482","1.515071","0.05679224","0.003225359","1.297078","1.371337","0.0742588"
"rhi:al.l:ns_area","219.0441","214.9647","148.4529","292.0262","29.76661","886.0509","200.0865","238.826","38.73954"
"rhi:ecm.l:zy.l_area","1741.8","1730.754","1233.611","2486.596","180.5085","32583.33","1630.912","1843.66","212.748"
"rhi:a:ju.l_area","1095.183","1097.093","829.1003","1360.539","100.8341","10167.52","1035.246","1156.426","121.1796"
"ale:rhi:ecm.l_area","1145.078","1143.249","843.4373","1484.88","113.2099","12816.48","1085.234","1210.928","125.6938"
"rhi:zy.l:zm.l_area","1141.95","1133.88","801.813","1460.398","116.63","13602.55","1054.951","1207.077","152.126"
"ale:pr:au.l_area","156.8462","148.4311","60.22091","577.6029","64.06162","4103.891","120.9152","189.3723","68.45707"
"fmo.r:mso.r:ecm.l_angle","1.327125","1.323508","1.184894","1.460208","0.05444117","0.002963841","1.29071","1.363823","0.07311262"
"ms.r:po.l:ju.r_area","4029.997","4027.462","3391.51","4786.961","259.1165","67141.36","3848.905","4221.694","372.7897"
"n:ecm.r:ju.l_area","2564.631","2583.958","1463.928","3135.253","216.2808","46777.39","2435.124","2697.195","262.0713"
"n:zy.r:po.r_area","1258.308","1255.432","881.2941","1658.214","149.8855","22465.65","1152.817","1372.708","219.8902"
"fmo.r:pr:fmt.r_area","48.38011","43.05162","2.968116","173.238","29.51133","870.9188","29.3842","61.50621","32.122"
"ale:rhi:ju.l_area","1752.934","1763.697","1327.219","2141.073","162.0003","26244.09","1654.706","1847.901","193.1946"
"mso.r:ms.r:ms.l_area","5846.484","5809.396","4966.466","6777.154","367.5471","135090.9","5584.087","6092.304","508.2168"
"mso.l:ecm.r:ms.l_area","4581.13","4579.338","2386.448","5532.037","382.8925","146606.6","4419.125","4815.68","396.5544"
"mso.l:ms.r:ju.l_area","2985.098","2982.276","2161.443","3532.801","212.2518","45050.81","2857.651","3100.741","243.0905"
"g:n:cr.r_angle","0.8630688","0.861035","0.6765469","1.528786","0.09770463","0.009546194","0.7993436","0.913302","0.1139584"
"mso.l:ecm.r:ju.l_area","2051.167","2060.238","955.4025","2451.739","203.6836","41487.01","1954.277","2178.544","224.2668"
"zy.r:mo.r:cdl.r_area","575.7693","586.1071","252.0386","837.4519","125.1983","15674.62","495.6443","670.2645","174.6202"
"mio.l:ms.l:ju.r_angle","1.563667","1.563454","1.457331","1.709187","0.04163926","0.001733828","1.53641","1.59396","0.05755035"
"n:ecm.r:cr.l_area","2559.271","2583.455","1000.066","3105.585","240.0951","57645.64","2437.959","2691.434","253.4743"
"or.r:mio.r:pr_angle","0.903674","0.9000103","0.6340002","1.346743","0.1073141","0.01151631","0.8262703","0.9681651","0.1418948"
"ms.r:po.r:cdl.l_area","1699.669","1682.209","1313.62","2339.464","191.1427","36535.53","1574.325","1806.003","231.6782"
"fmo.r:mio.r:fmt.r_angle","2.906168","2.934383","2.361114","3.12162","0.131431","0.01727411","2.828761","3.00229","0.1735296"
"zy.l:ms.r:zm.l_area","2707.838","2706.485","1782.481","3310.353","262.1739","68735.16","2545.258","2889.729","344.4701"
"rhi:au.l:a_area","1786.171","1785.946","1405.026","2266.757","160.0955","25630.55","1670.348","1887.046","216.6979"
"ec.r:ms.r:ms.l_area","4701.433","4690.735","4013.239","5554.211","315.844","99757.41","4467.906","4911.242","443.3364"
"zy.l:ms.l:a_area","2185.017","2179.367","1741.17","2738.324","177.6536","31560.79","2077.443","2303.789","226.3455"
"fmo.r:al.l:ss_angle","0.2756608","0.2746948","0.2330508","0.3264998","0.01967947","0.0003872816","0.2638815","0.2885744","0.02469292"
"rhi:ecm.l_distance","67.65042","67.3894","49.24425","85.06585","4.036007","16.28935","65.49627","69.66128","4.165006"
"n:ecm.r:po.l_area","3850.903","3865.418","2718.102","4642.003","280.885","78896.37","3668.547","4023.334","354.7864"
"fmo.r:mp:fmt.r_angle","2.921306","2.941699","2.372248","3.13237","0.1284676","0.01650393","2.863464","3.009775","0.1463103"
"fmo.r:mso.r:ju.r_angle","2.565252","2.571327","2.290962","2.808869","0.07847273","0.00615797","2.517999","2.617515","0.09951577"
"rhi:ms.r:ms.l_area","6170.988","6161.218","5079.272","7217.132","411.6466","169452.9","5926.749","6403.37","476.6211"
"ns:zy.l:ms.l_area","2138.244","2137.392","1689.577","2660.341","177.6997","31577.18","2022.352","2231.676","209.3235"
"zy.r:ms.r:au.l_area","3015.811","2999.722","632.7896","3631.445","321.0376","103065.2","2850.433","3215.954","365.5203"
"n:mio.l:fmt.r_angle","2.092022","2.092996","1.84949","2.307536","0.0819728","0.006719539","2.035101","2.144975","0.1098731"
"fmo.r:a:fmt.r_area","51.90685","47.03692","4.64418","171.6491","32.12204","1031.826","28.81005","69.44428","40.63423"
"ms.r:po.l:au.r_angle","1.57951","1.578652","1.367522","1.79219","0.07262428","0.005274286","1.538224","1.614719","0.07649548"
"ms.r:po.r:zm.r_area","1038.718","1027.191","806.8074","1543.583","124.2672","15442.34","951.5865","1108.485","156.8983"
"rhi:po.l:a_area","1744.598","1747.007","1364.68","2205.507","156.4601","24479.77","1623.021","1838.642","215.621"
"or.r:zy.r:cdl.r_area","355.8355","357.0192","183.3815","530.5283","76.35801","5830.545","306.1667","418.5123","112.3456"
"mso.r:or.r:cdl.r_area","1051.759","1057.932","840.3185","1247.032","81.0856","6574.874","998.379","1111.103","112.7241"
"zy.r:po.l:au.r_angle","1.304913","1.301512","1.111635","1.51315","0.06817412","0.00464771","1.258162","1.348901","0.09073873"
"g:mo.l:cdl.l_angle","0.5954962","0.5931093","0.4709522","0.7761336","0.06037745","0.003645436","0.5548128","0.6320055","0.07719264"
"or.r:ms.r:po.r_area","1095.296","1079.6","805.0927","1685.055","140.501","19740.52","996.5683","1177.283","180.7146"
"n:ms.l:zm.r_area","4106.459","4099.691","3306.15","4956.431","277.5201","77017.4","3917.022","4282.37","365.3487"
"g:mo.r:au.r_angle","0.7548333","0.758871","0.6043911","0.9859725","0.06325895","0.004001694","0.7127192","0.8011636","0.08844442"
"g:zy.r:po.r_area","1319.329","1311.111","927.2856","1744.498","160.5336","25771.03","1198.046","1441.881","243.8346"
"rhi:fmo.l:al.l_angle","1.126485","1.122743","0.9274858","1.361044","0.06043404","0.003652273","1.08547","1.161518","0.07604835"
"mp:zy.l:ms.l_area","2265.931","2264.147","1815.862","2869.587","183.1138","33530.66","2139.893","2387.404","247.5112"
"n:ec.l:ecm.r_area","2058.632","2062.667","1412.702","2592.242","159.5988","25471.77","1960.607","2165.872","205.2653"
"ale:rhi:mio.l_area","876.9137","874.6132","643.7377","1191.944","88.91343","7905.597","819.9176","924.8851","104.9675"
"zy.r:au.r:cr.r_angle","2.258449","2.268563","1.903755","2.67762","0.1479929","0.02190191","2.148969","2.349898","0.2009283"
"ale:rhi:fmo.l_area","1458.989","1464.343","1089.798","1781.759","135.7586","18430.4","1363.485","1540.969","177.4837"
"ale:fmo.r:fmt.r_area","48.91047","44.60927","3.833509","185.4446","29.87094","892.2733","29.35496","60.67168","31.31672"
"n:mso.r:ecm.l_area","1136.566","1130.064","888.8688","1464.828","106.2865","11296.82","1064.56","1203.777","139.2169"
"n:ecm.r:cdl.l_area","3505.668","3521.965","2073.219","4370.102","286.9257","82326.37","3346.699","3676.188","329.4893"
"ms.r:po.r:au.l_area","1735.521","1731.082","104.6486","2336.551","232.2893","53958.31","1625.266","1847.201","221.9347"
"rhi:zy.l:a_area","1422.792","1439.003","1057.023","1832.559","134.6497","18130.55","1333.085","1502.164","169.0782"
"ale:rhi:po.l_area","2799.607","2795.091","2040.77","3426.704","242.6772","58892.24","2666.939","2919.591","252.6515"
"rhi:a:fmt.l_area","975.0275","973.3463","765.3245","1242.459","89.80308","8064.594","919.1116","1030.506","111.3946"
"mp:ms.r:po.r_area","1652.655","1636.262","1284.712","2352.455","180.3283","32518.29","1542.816","1735.824","193.0083"
"zy.r:zy.l:cdl.r_area","1047.718","1057.349","426.5176","1482.386","228.1535","52054.03","891.4189","1204.223","312.8046"
"mso.l:zm.l:cdl.l_area","1510.6","1503.595","751.1983","1835.755","135.3174","18310.79","1430.12","1587.415","157.2954"
"al.l:ss:ecm.l_area","399.1263","395.9648","283.5848","556.6313","49.08376","2409.215","372.2754","431.2768","59.00136"
"rhi:ecm.r:ju.l_area","2380.939","2393.984","1266.688","2935.146","227.6318","51816.24","2272.915","2512.765","239.8494"
"ale:rhi:fmt.l_area","1555.407","1560.276","1181.878","1909.142","141.261","19954.66","1443.267","1627.356","184.0891"
"rhi:a_distance","31.42693","31.54705","25.45382","37.52698","2.337328","5.463103","29.66547","33.17085","3.50538"
"ss:ms.r:po.r_area","1624.202","1608.583","1262.879","2326.852","179.5173","32226.44","1507.214","1711.637","204.4223"
"ale:rhi:au.l_area","2863.59","2859.475","2104.327","3529.605","245.9625","60497.56","2727.294","3004.868","277.5733"
"mso.l:al.l:ecm.r_angle","0.4846583","0.4807962","0.4035783","0.5741982","0.03527617","0.001244408","0.462224","0.5067186","0.0444946"
"n:fmo.l:ecm.r_area","1973.58","1974.944","1497.624","2503.038","159.408","25410.9","1864.653","2091.508","226.8551"
"n:or.r:mio.r_angle","0.1003034","0.09723542","0.02051475","0.1731498","0.0243625","0.0005935312","0.0848956","0.1130202","0.02812463"
"zy.r:mo.l:cdl.r_area","724.0651","749.0936","304.8233","1053.524","155.6879","24238.73","640.6208","836.6587","196.0379"
"or.l:zy.l:po.l_area","550.6938","558.0636","327.4797","881.0271","87.77965","7705.267","489.8875","602.1786","112.2912"
"n:fmo.r:pr_angle","1.460992","1.46308","1.357903","1.590793","0.04552452","0.002072482","1.430753","1.489278","0.05852458"
"g:fmo.r:mio.l_angle","1.776962","1.783866","1.587094","1.926026","0.0698404","0.004877682","1.730924","1.823791","0.0928669"
"or.l:zy.l:cdl.l_area","356.551","352.4818","213.026","680.8241","75.61105","5717.031","297.5368","410.3293","112.7925"
"g:ecm.r:ms.l_area","4413.24","4443.638","2752.951","5415.484","359.9628","129573.2","4207.195","4616.92","409.7247"
"zy.r:ms.r:ju.l_area","3036.709","3034.809","2392.718","3744.316","258.9834","67072.4","2837.806","3174.227","336.4209"
"g:al.l:ms.r_angle","1.088056","1.090902","0.9646177","1.215589","0.04648688","0.00216103","1.056643","1.11969","0.06304746"
"ale:mso.l:ju.l_area","1757.375","1758.212","707.6042","2180.97","158.5823","25148.35","1675.045","1863.642","188.5964"
"rhi:ecm.r:ms.l_area","3563.433","3582.399","1775.814","4419.425","324.3943","105231.6","3403.344","3764.144","360.8004"
"zy.r:ms.r:cdl.l_area","2923.722","2903.197","2412.496","3679.544","251.8374","63422.06","2742.565","3099.521","356.9557"
"ms.r:po.r:po.l_area","1657.823","1640.06","1260.852","2240.066","187.45","35137.5","1548.78","1754.52","205.7402"
"fmo.r:al.r:fmt.r_angle","2.888761","2.918307","2.442295","3.122181","0.139043","0.01933297","2.804644","2.990561","0.1859162"
"g:fmo.l:mso.r_area","640.764","635.7703","422.9759","856.1608","84.21731","7092.555","581.0933","698.9666","117.8733"
"n:ale:mo.l_area","405.5717","400.7794","287.561","665.4175","56.03441","3139.855","364.4167","438.5407","74.124"
"or.r:al.l:ss_angle","0.4047889","0.4051739","0.3225875","0.512944","0.03658583","0.001338523","0.3847204","0.4274544","0.04273402"
"g:ms.r:po.l_area","6071.591","6075.432","5250.906","7166.634","369.302","136384","5780.722","6307.286","526.5646"
"n:ecm.r:fmt.l_area","2068.77","2054.252","1694.032","2641.81","165.9785","27548.86","1963.221","2181.705","218.4839"
"g:or.r:mio.r_angle","0.1034663","0.1010788","0.02463425","0.1779936","0.02409051","0.0005803527","0.08753343","0.1155476","0.02801418"
"fmo.l:mso.l:zm.r_area","1029.912","1029.171","754.5015","1294.696","103.4091","10693.45","964.3486","1117.345","152.9968"
"ecm.l:zy.r:ms.l_angle","1.591706","1.592273","1.321713","1.796848","0.07182485","0.005158809","1.554412","1.6391","0.0846884"
"ale:rhi:mso.l_area","995.8682","1000.474","682.2954","1288.307","115.8888","13430.22","920.5911","1061.481","140.8903"
"ale:al.l_distance","30.75359","30.58085","24.90326","36.17565","2.376039","5.645563","29.22501","32.48382","3.258811"
"n:mio.r:ms.l_area","2561.424","2551.304","2089.85","3199.124","192.754","37154.1","2425.631","2674.451","248.82"
"po.l:au.l:fmt.l_angle","1.201959","1.203042","0.8553248","1.570266","0.1333265","0.01777595","1.119529","1.282119","0.1625895"
"rhi:mo.r:ft.r_angle","0.5209208","0.5186148","0.3807986","0.6967156","0.06393771","0.004088031","0.4715659","0.5690476","0.09748168"
"pr:mp:ecm.r_angle","1.263157","1.260312","0.5863206","2.241194","0.1437237","0.02065651","1.184169","1.332604","0.148435"
"al.r:zy.r:au.r_area","792.845","782.9771","517.1956","1431.017","125.8501","15838.25","707.4818","878.6578","171.1761"
"ale:al.l:ns_area","123.5403","121.1986","67.52932","191.9956","23.96939","574.5314","105.9606","138.7228","32.7622"
"or.r:zy.r:au.r_area","441.3312","437.5526","291.6037","821.8781","76.49788","5851.925","394.2832","486.1573","91.87401"
"ec.l:mso.l:ecm.r_area","1269.088","1274.582","525.7645","1577.054","129.3086","16720.73","1212.534","1351.223","138.6894"
"g:fmo.r:zy.r_angle","0.3585591","0.3583149","0.2501179","0.4650978","0.03718778","0.001382931","0.3342582","0.3857352","0.051477"
"ale:mso.r:al.l_area","875.2558","872.1949","663.3902","1052.495","75.23888","5660.888","824.8367","924.4897","99.65293"
"mso.l:mp:ecm.l_area","1544.449","1537.251","849.1517","2140.221","149.7356","22420.76","1471.692","1624.517","152.8251"
"or.r:mio.r:ecm.r_angle","1.642236","1.6565","0.7783796","2.001789","0.1415234","0.02002887","1.583247","1.720444","0.1371967"
"zy.l:ms.r:ju.r_area","4218.951","4209.653","3541.84","5000.347","273.9179","75031.04","4057.929","4392.423","334.494"
"fmo.l:zy.r:ms.l_angle","1.223542","1.221143","1.097205","1.313507","0.03742236","0.001400433","1.201205","1.248529","0.04732401"
"n:ecm.r:au.l_area","3963.876","3997.535","2950.169","4846.381","300.861","90517.33","3776.918","4164.782","387.8634"
"ec.r:po.l:ju.r_angle","1.397882","1.393214","1.234901","1.579939","0.06809733","0.004637246","1.348701","1.439132","0.09043088"
"rhi:mp:mo.l_area","473.2216","472.7148","285.6071","654.5104","61.68892","3805.523","435.9792","508.8933","72.91416"
"ale:rhi_distance","50.16598","50.38356","42.23149","59.51888","3.358824","11.2817","47.95262","51.84989","3.89727"
"fmo.r:mso.l:ecm.l_angle","0.8021842","0.803824","0.4240607","0.8916681","0.0433882","0.001882535","0.7814029","0.8290474","0.04764452"
"fmo.l:mso.l:ecm.r_area","1059.35","1061.089","605.2297","1362.992","116.3784","13543.94","989.9463","1152.778","162.8317"
"fmo.r:ms.r:ms.l_area","4999.29","5006.468","4246.611","5956.996","322.2349","103835.3","4748.535","5205.188","456.6526"
"fmo.r:zy.l:ju.r_angle","1.450115","1.448434","1.246045","1.62653","0.06032892","0.003639579","1.4092","1.483675","0.07447516"
"n:fmo.l:cr.r_angle","1.877816","1.883442","1.687275","2.066784","0.06815788","0.004645497","1.835711","1.924933","0.08922188"
"ec.r:al.l:ss_angle","0.2926706","0.2933455","0.2381943","0.3470958","0.02248134","0.0005054107","0.2782481","0.3058509","0.02760281"
"n:ms.r:po.l_area","5784.85","5775.629","5092.379","6749.357","351.3229","123427.8","5535.549","6001.695","466.1455"
"rhi:ecm.r:zy.l_area","3053.563","3065.503","1709.684","3765.349","293.0446","85875.12","2899.617","3219.792","320.1755"
"ale:rhi:cr.l_area","1763.733","1757.541","1258.107","2182.412","169.4585","28716.17","1673.716","1852.957","179.2408"
"ft.r:ms.r:ms.l_area","5524.324","5496.472","4745.172","6698.501","378.7417","143445.3","5243.297","5763.795","520.4974"
"ns:ms.r:po.r_area","1603.527","1569.8","1219.657","2323.265","181.8557","33071.49","1493.196","1704.591","211.3956"
"n:fmo.r:ns_angle","1.452318","1.457312","1.331684","1.558068","0.04829287","0.002332201","1.418576","1.484223","0.06564693"
"ms.r:po.r:a_area","1651.145","1630.109","1256.651","2395.636","185.9178","34565.45","1530.389","1748.236","217.8476"
"rhi:pr:mo.l_area","521.8826","517.3258","310.4157","699.3283","69.15007","4781.732","485.8005","565.8523","80.05181"
"n:ms.l:cdl.r_area","5510.678","5500.758","4615.671","6522.358","360.3347","129841.1","5238.426","5760.433","522.0062"
"g:mso.r:fmt.l_area","645.367","640.8812","451.0392","893.8848","89.15599","7948.791","580.9764","702.5206","121.5442"
